N,Time (s),Memory (KB),Passes
10,0.0,3152.0,1.0
20,0.0,4160.0,1.0
30,0.0,3196.0,1.0
40,0.0,4156.0,1.0
50,0.0,3168.0,1.0
60,0.0,3120.0,1.0
70,0.0,4168.0,1.0
80,0.0,4144.0,1.0
90,0.0,4132.0,1.0
100,0.0,4184.0,1.0
200,0.0,4152.0,2.27
300,0.0,4152.0,2.25
400,0.01,4152.0,2.36
500,0.01,3188.0,2.34
600,0.01,3108.0,2.4
700,0.02,4144.0,2.45
800,0.02,3152.0,2.39
900,0.03,3136.0,2.43
1000,0.03,4192.0,2.49
1250,0.05,3196.0,2.6
1500,0.06,4136.0,2.59
1750,0.08,5212.0,2.54
2000,0.1,5204.0,2.51
2250,0.12,4132.0,2.68
2500,0.14,4248.0,2.63
3000,0.18,4132.0,2.67
3500,0.24,5156.0,2.72
4000,0.29,6236.0,2.74
4500,0.35,6216.0,2.73
5000,0.42,5188.0,2.73
6000,0.59,5156.0,2.87
7000,0.74,7244.0,2.85
8000,0.91,8248.0,2.9
9000,1.12,7204.0,2.87
10000,1.32,8260.0,2.86
