K,Time (s),Memory (KB),Passes
1,7.99,3108.0,65.85
2,4.25,3108.0,34.05
3,2.78,3188.0,22.8
4,2.25,3120.0,17.98
5,1.93,4196.0,15.2
6,1.66,4132.0,13.36
7,1.48,4192.0,12.06
8,1.38,4160.0,11.05
9,1.29,4140.0,10.3
10,1.2,4160.0,9.64
12,1.11,4196.0,8.71
14,1.0,4132.0,7.86
16,0.93,5160.0,7.5
18,0.88,5156.0,6.87
20,0.83,5156.0,6.61
25,0.72,5156.0,5.68
30,0.72,6180.0,5.58
35,0.67,6240.0,5.29
40,0.59,7240.0,4.65
50,0.58,8260.0,4.47
60,0.57,9304.0,4.44
70,0.48,10276.0,3.75
80,0.45,10316.0,3.53
90,0.46,11340.0,3.47
100,0.43,12404.0,3.29
150,0.44,17456.0,3.24
200,0.42,21540.0,3.0
250,0.45,27704.0,3.0
300,0.48,31780.0,2.96
350,0.51,35876.0,2.86
400,0.53,41008.0,2.73
450,0.55,45156.0,2.56
500,0.55,50212.0,2.02
550,0.52,51292.0,2.0
600,0.55,50240.0,2.0
650,0.53,50252.0,2.0
700,0.52,50212.0,2.0
750,0.52,51292.0,2.0
800,0.52,50212.0,2.0
850,0.55,50292.0,2.0
900,0.53,50212.0,2.0
950,0.54,50272.0,2.0
1000,0.58,50228.0,2.0
