K,Time (s),Memory (KB),Passes
1,4.96,3164.0,39.95
2,2.1,3108.0,16.86
3,1.61,3108.0,12.98
4,1.37,4132.0,10.84
5,1.18,4132.0,9.44
6,1.08,4176.0,8.47
7,0.97,4132.0,7.78
8,0.88,4204.0,7.1
9,0.84,4160.0,6.71
10,0.78,4132.0,6.16
12,0.71,4156.0,5.65
14,0.66,4160.0,5.17
16,0.65,5152.0,5.06
18,0.56,5156.0,4.42
20,0.54,5156.0,4.19
25,0.53,6196.0,4.13
30,0.42,6188.0,3.2
35,0.41,6236.0,3.2
40,0.41,7224.0,3.19
50,0.43,9256.0,3.16
60,0.31,9252.0,2.29
70,0.3,10356.0,2.24
80,0.3,10304.0,2.23
90,0.3,11300.0,2.23
100,0.31,12368.0,2.23
150,0.29,17444.0,2.0
200,0.31,22568.0,1.99
250,0.33,27740.0,1.95
300,0.37,31780.0,1.89
350,0.4,35912.0,1.84
400,0.42,41064.0,1.72
450,0.45,45112.0,1.54
500,0.13,17188.0,1.0
550,0.12,19184.0,1.0
600,0.12,19320.0,1.0
650,0.12,18996.0,1.0
700,0.12,19288.0,1.0
750,0.13,18396.0,1.0
800,0.12,19352.0,1.0
850,0.12,18052.0,1.0
900,0.12,18064.0,1.0
950,0.12,18444.0,1.0
1000,0.12,19080.0,1.0
