M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41060.0,1.0,0.09
2000,0.0009,44168.0,1.0,0.09
3000,0.0013,45172.0,1.0,0.08
4000,0.0017000000000000001,47260.0,1.0,0.06
5000,0.002,48244.0,1.0,0.04
6000,0.0023,49256.0,1.0,0.04
7000,0.0025,50260.0,1.0,0.05
8000,0.0031,51324.0,1.0,0.04
9000,0.0033,52288.0,1.0,0.04
10000,0.0036,53348.0,1.0,0.04
12000,0.0042,55372.0,1.0,0.04
14000,0.0048,55412.0,1.0,0.02
16000,0.0054,56420.0,1.0,0.03
18000,0.006,57464.0,1.0,0.02
25000,0.0083,60524.0,1.0,0.02
30000,0.0098,62556.0,1.0,0.0
35000,0.0109,63596.0,1.0,0.06
40000,0.0123,64568.0,1.0,0.07
45000,0.0141,65644.0,1.0,0.06
50000,0.0154,66684.0,1.0,0.05
60000,0.0181,68680.0,1.0,0.01
70000,0.0208,69732.0,1.0,0.0
80000,0.024,70756.0,1.0,0.02
90000,0.026099999999999998,71796.0,1.0,0.01
100000,0.028900000000000002,72780.0,1.0,0.0
200000,0.1553,15444.0,2.02,75.46
300000,0.2878,16460.0,3.0,98.68
400000,0.47229999999999994,16488.0,4.0,122.39
500000,0.7105,15948.0,4.99,146.94
600000,0.986,17520.0,5.99,172.07
