M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41076.0,1.0,0.09
2000,0.0009,44188.0,1.0,0.09
3000,0.0012,45132.0,1.0,0.08
4000,0.0016,47240.0,1.0,0.06
5000,0.002,48240.0,1.0,0.04
6000,0.0023,49260.0,1.0,0.04
7000,0.0026,50276.0,1.0,0.05
8000,0.003,51336.0,1.0,0.04
9000,0.0033,52340.0,1.0,0.04
10000,0.0036,53348.0,1.0,0.04
12000,0.0043,54388.0,1.0,0.04
14000,0.0048,55400.0,1.0,0.02
16000,0.0054,56480.0,1.0,0.03
18000,0.0060999999999999995,57424.0,1.0,0.02
25000,0.008199999999999999,60496.0,1.0,0.02
30000,0.0097,62592.0,1.0,0.0
35000,0.011200000000000002,64580.0,1.0,0.06
40000,0.0125,64596.0,1.0,0.07
45000,0.0137,64612.0,1.0,0.06
50000,0.015,66664.0,1.0,0.05
60000,0.0183,68664.0,1.0,0.01
70000,0.021,70756.0,1.0,0.0
80000,0.023399999999999997,70728.0,1.0,0.02
90000,0.0264,71788.0,1.0,0.01
100000,0.0285,72804.0,1.0,0.0
200000,0.16219999999999998,16240.0,2.0,74.09
300000,0.307,15460.0,3.0,97.92
400000,0.5077,16372.0,4.0,122.11
500000,0.8131999999999999,15484.0,4.98,146.48
600000,1.2022,15472.0,5.88,169.43
