Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,1,4,8944.0,1
10000,1,4,8640.0,1
11000,1,4,8784.0,2
12000,3,3,11664.0,3
13000,3,3,11648.0,4
14000,3,3,11744.0,4
15000,5,2,14288.0,5
16000,5,2,14560.0,6
17000,5,2,14288.0,6
18000,5,2,14288.0,7
19000,5,2,14352.0,8
20000,5,2,14288.0,9
21000,5,2,14288.0,9
22000,5,2,14288.0,10
23000,5,2,14288.0,11
24000,5,2,14288.0,11
25000,5,2,14288.0,11
30000,5,2,14352.0,11
35000,5,2,14288.0,11
40000,5,2,14288.0,11
45000,5,2,14288.0,11
50000,5,2,14288.0,11
60000,5,2,14288.0,11
70000,5,2,14288.0,11
80000,5,2,14288.0,11
90000,5,2,14288.0,11
100000,5,2,14288.0,11
200000,5,2,14368.0,11
300000,5,2,14432.0,11
400000,5,2,14288.0,11
500000,5,2,14528.0,11
600000,5,2,14336.0,11
700000,5,2,14496.0,11
800000,5,2,14288.0,11
900000,5,2,14320.0,11
1000000,5,2,14400.0,11
