N,Time (s),Memory (KB),Passes
10,0.0,3836.0,1.0
20,0.0,3844.0,1.0
30,0.0,3952.0,1.0
40,0.0,3872.0,1.0
50,0.0,3956.0,1.0
60,0.0,3956.0,1.0
70,0.0,3896.0,1.0
80,0.0,3984.0,1.0
90,0.0,3788.0,1.0
100,0.0,3976.0,1.0
150,0.0,4144.0,1.0
200,0.0,4116.0,1.0
250,0.0,4144.0,1.0
300,0.0,4108.0,1.0
350,0.0,4132.0,1.0
400,0.0,4296.0,1.0
450,0.0,4360.0,1.0
500,0.0,4352.0,1.0
600,0.0,4328.0,1.0
700,0.01,4544.0,1.0
800,0.01,4616.0,1.0
900,0.01,4548.0,1.0
1000,0.01,4808.0,1.0
1200,0.01,4900.0,1.0
1400,0.02,5020.0,1.0
1600,0.02,5120.0,1.0
1800,0.03,5436.0,1.0
2000,0.03,5564.0,1.0
2500,0.05,6288.0,1.0
3000,0.06,6680.0,1.0
3500,0.07,7236.0,1.0
4000,0.1,7520.0,1.0
4500,0.11,8208.0,1.0
5000,0.14,8548.0,1.0
6000,0.17,10244.0,1.0
7000,0.24,10684.0,1.0
8000,0.28,13132.0,1.0
9000,0.35,12476.0,1.0
10000,0.42,14196.0,1.0
