N,Time (s),Memory (KB),Passes
10,0.0,3924.0,2.0
20,0.0,3728.0,3.0
30,0.0,3924.0,3.06
40,0.0,3744.0,3.05
50,0.0,4032.0,3.07
60,0.0,4036.0,3.08
70,0.0,3864.0,3.1
80,0.0,3952.0,3.1
90,0.0,3976.0,3.15
100,0.0,3976.0,3.15
150,0.0,4088.0,3.2
200,0.0,3952.0,3.24
250,0.0,4060.0,3.26
300,0.0,3876.0,3.3
350,0.0,3992.0,3.32
400,0.01,4128.0,3.31
450,0.01,4088.0,3.32
500,0.01,4220.0,3.38
600,0.01,4264.0,3.38
700,0.02,4288.0,3.41
800,0.02,4252.0,3.43
900,0.02,4412.0,3.46
1000,0.02,4352.0,3.49
1200,0.04,4616.0,3.52
1400,0.05,4676.0,3.58
1600,0.06,4692.0,3.57
1800,0.07,4704.0,3.59
2000,0.08,4940.0,3.61
2500,0.12,5000.0,3.67
3000,0.15,5296.0,3.66
3500,0.19,5480.0,3.7
4000,0.25,5900.0,3.74
4500,0.29,6232.0,3.74
5000,0.34,6544.0,3.73
6000,0.46,7064.0,3.77
7000,0.61,7620.0,3.8
8000,0.76,7824.0,3.82
9000,0.88,8584.0,3.85
10000,1.08,8924.0,3.85
