K,Time (s),Memory (KB),Passes
1,14.31,48460.0,5
2,13.87,49552.0,5
3,13.36,49536.0,5
4,13.23,49480.0,5
5,0.16,37644.0,1
6,0.19,37648.0,1
7,0.18,37636.0,1
8,0.17,37656.0,1
9,0.15,37624.0,1
10,0.18,37732.0,1
