K,Time (s),Memory (KB),Passes
1,12.84,59484.0,4
2,13.47,72224.0,3
3,14.81,83484.0,2
4,13.73,95304.0,2
5,0.14,37680.0,1
6,0.17,37744.0,1
7,0.19,37736.0,1
8,0.16,37736.0,1
9,0.18,37656.0,1
10,0.16,37636.0,1
