K,Average User Time (s),Average Memory (KB),Passes
1,19.14,53125.3333,22
2,12.3267,62368.0,9
3,8.82,72340.0,6
4,8.5733,82086.6667,5
5,6.81,91860.0,4
6,9.2867,101760.0,4
7,5.1667,113625.3333,3
8,6.4367,121562.6667,3
9,8.4633,133009.3333,3
10,3.5233,144020.0,2
