K,Iteration,User Time (s),Memory (KB),Passes
7,1,14.25,82964.0,4
7,2,13.86,82960.0,4
7,3,13.86,82936.0,4
7,4,13.94,83040.0,4
7,5,5.62,83040.0,4
7,6,12.96,82908.0,4
7,7,7.96,82940.0,4
7,8,7.26,83036.0,4
7,9,5.75,82992.0,4
7,10,6.71,83024.0,4
7,11,5.8,82956.0,4
7,12,5.27,82856.0,4
7,13,5.51,82992.0,4
7,14,5.8,83020.0,4
7,15,5.58,82976.0,4
7,16,5.57,83024.0,4
7,17,5.43,83036.0,4
7,18,5.5,82940.0,4
7,19,5.22,83020.0,4
7,20,5.55,82892.0,4
7,21,5.62,83012.0,4
7,22,5.41,82932.0,4
7,23,4.94,82888.0,4
7,24,5.35,82944.0,4
7,25,4.93,82964.0,4
7,26,5.71,82912.0,4
7,27,5.1,82892.0,4
7,28,5.45,82936.0,4
7,29,5.58,82908.0,4
7,30,5.24,82908.0,4
7,31,5.57,82956.0,4
7,32,5.12,82868.0,4
7,33,5.76,82904.0,4
7,34,5.69,82960.0,4
7,35,5.88,83044.0,4
7,36,13.04,82968.0,4
7,37,14.4,82944.0,4
7,38,13.75,82892.0,4
7,39,14.7,83028.0,4
7,40,14.32,82876.0,4
7,41,14.87,83044.0,4
7,42,14.23,82904.0,4
7,43,13.73,82868.0,4
7,44,13.51,82968.0,4
7,45,13.66,82932.0,4
7,46,13.9,82996.0,4
7,47,14.88,83012.0,4
7,48,13.72,82964.0,4
7,49,14.01,83024.0,4
7,50,14.1,82860.0,4
