K,Iteration,User Time (s),Memory (KB),Passes
10,1,13.33,49520.0,5
10,2,94.92,49384.0,5
10,3,13.5,49512.0,5
10,4,95.37,49380.0,5
10,5,13.37,49408.0,5
10,6,45.2,49364.0,5
10,7,26.19,49360.0,5
10,8,25.91,49432.0,5
10,9,25.55,49432.0,5
10,10,26.04,49496.0,5
10,11,26.35,49436.0,5
10,12,28.68,49360.0,5
10,13,27.04,49384.0,5
10,14,27.76,49384.0,5
10,15,27.07,49488.0,5
10,16,25.37,49360.0,5
10,17,24.85,49456.0,5
10,18,24.56,49464.0,5
10,19,24.97,49440.0,5
10,20,25.22,49352.0,5
10,21,25.33,49440.0,5
10,22,25.7,49364.0,5
10,23,25.74,49380.0,5
10,24,26.48,49368.0,5
10,25,25.09,49420.0,5
10,26,25.54,49460.0,5
10,27,25.2,49340.0,5
10,28,25.02,49368.0,5
10,29,24.88,49500.0,5
10,30,25.19,49332.0,5
10,31,25.29,49428.0,5
10,32,25.42,49496.0,5
10,33,24.79,49436.0,5
10,34,25.8,49428.0,5
10,35,25.88,49340.0,5
10,36,23.85,49328.0,5
10,37,21.69,49428.0,5
10,38,20.68,49400.0,5
10,39,21.41,49480.0,5
10,40,20.57,49340.0,5
10,41,20.71,49488.0,5
10,42,25.73,49340.0,5
10,43,25.42,49484.0,5
10,44,24.58,49428.0,5
10,45,24.77,49424.0,5
10,46,24.96,49364.0,5
10,47,24.88,49344.0,5
10,48,25.07,49440.0,5
10,49,25.68,49360.0,5
10,50,25.07,49404.0,5
