N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3183.428,1.0,0.0
20,0.0,3184.5,1.0,0.0
30,0.0,3181.888,1.0,0.0
40,0.0,3182.336,1.0,0.0
50,0.0,3182.012,1.0,0.0
60,0.0,3183.52,1.0,0.0
70,0.0,3182.868,1.0,0.0
80,0.0,3183.744,1.0,0.0
90,0.0,3183.072,1.0,0.0
100,0.0,3184.392,1.0,0.0
200,0.0,3183.276,1.986,189.637
300,0.0,3183.04,2.0,286.245
400,0.00013,3183.36,2.0,383.445
500,0.00952999999999984,3182.984,2.0,481.024
600,0.009999999999999832,3183.576,2.0,578.71
700,0.01098999999999982,4204.312,2.0,676.87
800,0.01959999999999968,4207.264,2.0,774.581
900,0.020009999999999663,4206.976,2.0,872.608
1000,0.027990000000000192,4209.056,2.0,971.043
1200,0.04112999999999953,4207.212,2.0,1167.504
1400,0.04914999999999933,4207.268,2.0,1364.649
1600,0.0598800000000007,5226.964,2.0,1561.792
1800,0.07004999999999964,5226.02,2.0,1758.978
2000,0.08182999999999924,5229.844,2.0,1956.42
2500,0.11946000000000137,6246.276,2.0,2450.427
3000,0.15839999999999832,6474.992,2.0,2945.079
3500,0.20301999999999784,7276.028,2.0,3439.798
4000,0.2474500000000019,8281.876,2.0,3935.708
4500,0.30254000000000275,8302.008,2.0,4430.981
5000,0.3504200000000014,9315.976,2.0,4926.891
6000,0.468229999999998,10341.62,2.0,5919.26
7000,0.6181900000000015,12314.06,2.0,6911.903
8000,0.7471000000000049,13385.364,2.0,7904.936
9000,0.9017300000000004,14440.076,2.0,8898.577
10000,1.0769699999999913,15729.992,2.0,9893.036
