K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,1935.7896999999998,6246.08,154.02,10000.0
2,257.8374,7686.84,20.8,10000.0
3,117.64139999999998,8655.44,9.36,10000.0
4,89.78350000000002,9690.92,7.13,10000.0
5,78.62700000000002,10612.6,6.2,10000.0
6,74.53889999999997,11663.76,5.87,10000.0
7,67.21999999999998,12595.04,5.28,10000.0
8,63.89680000000002,13710.68,5.01,10000.0
9,63.65969999999999,14711.48,5.0,10000.0
10,63.271000000000015,15465.0,4.95,10000.0
12,58.95149999999998,17514.28,4.62,10000.0
14,54.30369999999999,19556.44,4.24,10000.0
16,51.27170000000004,21586.16,4.02,10000.0
18,50.9253,22893.72,4.0,10000.0
20,50.5028,24909.72,4.0,10000.0
25,49.6553,29795.44,4.0,10000.0
30,48.812699999999985,34595.88,3.98,10000.0
35,48.80460000000001,39015.72,3.94,10000.0
40,48.04960000000001,44136.88,3.88,10000.0
45,45.7994,48653.76,3.69,10000.0
50,43.91950000000001,53331.8,3.51,10000.0
60,38.285799999999995,62569.4,3.07,10000.0
70,37.517700000000005,71778.48,3.0,10000.0
80,37.399800000000006,81626.4,3.0,10000.0
90,37.6641,90869.68,3.0,10000.0
100,37.714,100447.2,3.0,10000.0
150,38.0459,147245.84,3.0,10000.0
200,38.56169999999999,193638.84,3.0,10000.0
250,39.18420000000001,240708.24,3.0,10000.0
300,39.72429999999999,287809.16,3.0,10000.0
400,40.550200000000004,381525.16,3.0,10000.0
500,41.636099999999985,475189.28,3.0,10000.0
750,44.088999999999984,709663.12,3.0,10000.0
1000,46.63640000000002,943977.12,3.0,10000.0
1500,51.386100000000006,1412725.28,2.96,10000.0
2000,56.63860000000002,1881130.04,2.91,10000.0
2500,60.41069999999999,2349924.08,2.75,10000.0
3000,64.3549,2818704.76,2.58,10000.0
4000,74.66819999999998,3755860.56,2.22,10000.0
5000,88.27459999999998,4693310.8,2.0,10000.0
7500,85.14210000000003,4693947.8,2.0,10000.0
10000,98.32240000000002,4693950.68,2.0,10000.0
