K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,1540.8648999999996,6849.6,122.18,10000.0
2,112.50799999999998,8296.08,8.97,10000.0
3,81.30460000000001,9681.2,6.38,10000.0
4,67.1654,10349.88,5.36,10000.0
5,62.12059999999999,11350.08,4.96,10000.0
6,57.505500000000005,12396.08,4.44,10000.0
7,50.46550000000002,13408.2,4.0,10000.0
8,50.24460000000005,13422.68,4.0,10000.0
9,51.84050000000001,14444.84,3.98,10000.0
10,48.9315,15459.56,3.9,10000.0
12,44.80269999999999,17515.96,3.57,10000.0
14,38.2598,19564.6,3.03,10000.0
16,37.9475,21583.84,3.0,10000.0
18,37.50689999999998,23638.12,3.0,10000.0
20,37.7562,25690.2,3.0,10000.0
25,37.80770000000002,29805.4,3.0,10000.0
30,37.697399999999995,34896.4,2.99,10000.0
35,36.53209999999999,39013.52,2.89,10000.0
40,35.8039,44119.0,2.85,10000.0
45,34.684400000000004,48235.4,2.72,10000.0
50,32.0917,53327.88,2.56,10000.0
60,26.120900000000002,62562.64,2.09,10000.0
70,25.184000000000015,71786.92,2.0,10000.0
80,25.478700000000003,81005.72,2.0,10000.0
90,25.731600000000004,91090.24,2.0,10000.0
100,25.889100000000017,100348.36,2.0,10000.0
150,26.334900000000008,147381.68,2.0,10000.0
200,27.250000000000004,193544.28,2.0,10000.0
250,27.824099999999984,240639.92,2.0,10000.0
300,28.12349999999999,287690.88,2.0,10000.0
400,29.279300000000013,380941.88,2.0,10000.0
500,32.97959999999999,474850.92,2.0,10000.0
750,36.2446,709137.6,2.0,10000.0
1000,40.83710000000002,943356.56,2.0,10000.0
1500,45.74739999999998,1411655.84,1.96,10000.0
2000,51.42350000000001,1879918.12,1.85,10000.0
2500,51.80899999999999,2349331.48,1.69,10000.0
3000,55.17229999999999,2818421.92,1.55,10000.0
4000,66.03449999999998,3756140.36,1.17,10000.0
5000,13.578999999999999,1130648.88,1.0,0.0
7500,13.632699999999994,1130812.92,1.0,0.0
10000,13.610699999999992,1130873.24,1.0,0.0
