K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.16670000000000001,6147.72,3.48,121.22
2,0.16570000000000001,6121.16,3.48,121.22
3,0.1668,6127.28,3.48,121.22
4,0.16650000000000006,6119.08,3.48,121.26
5,0.16960000000000006,6105.56,3.49,121.25
6,0.16690000000000008,6148.36,3.48,121.32
7,0.16770000000000007,6132.72,3.49,121.34
8,0.16790000000000005,6142.68,3.5,121.37
9,0.16550000000000004,6146.16,3.48,121.44
10,0.16640000000000008,6143.8,3.48,121.41
12,0.16670000000000004,6186.52,3.48,121.43
14,0.16560000000000008,6209.48,3.47,121.38
16,0.1647000000000001,6238.12,3.47,121.4
18,0.16540000000000007,6206.36,3.47,121.38
20,0.16580000000000006,6209.96,3.48,121.48
25,0.16670000000000001,6297.8,3.46,121.44
30,0.16590000000000005,6676.52,3.42,121.5
35,0.16680000000000003,6982.16,3.41,121.51
40,0.1674000000000001,7204.4,3.39,121.55
45,0.16700000000000004,7526.24,3.35,121.49
50,0.1654000000000001,7998.44,3.33,121.43
60,0.15960000000000016,7780.36,3.19,121.49
70,0.1550000000000002,7856.48,3.09,121.56
80,0.1504000000000002,8059.88,3.01,121.6
90,0.1476000000000002,8440.96,2.97,121.65
100,0.1441000000000002,8787.56,2.9,121.66
150,0.1128999999999999,9312.68,2.04,121.7
200,0.11109999999999992,9317.68,2.0,121.7
250,0.11149999999999993,9313.96,2.0,121.7
300,0.11149999999999992,9319.96,2.0,121.7
400,0.1109999999999999,9319.64,2.0,121.7
500,0.1109999999999999,9310.84,2.0,121.7
750,0.1119999999999999,9299.32,2.0,121.7
1000,0.11159999999999994,9309.08,2.0,121.7
1500,0.1124999999999999,9300.72,2.0,121.7
2000,0.11089999999999993,9321.6,2.0,121.7
2500,0.11159999999999995,9287.4,2.0,121.7
3000,0.11159999999999994,9322.28,2.0,121.7
4000,0.11079999999999995,9323.64,2.0,121.7
5000,0.11219999999999991,9302.28,2.0,121.7
7500,0.11219999999999991,9309.12,2.0,121.7
10000,0.11229999999999991,9291.72,2.0,121.7
