K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.1205,5422.0,2.51,122.58
2,0.12120000000000003,5449.72,2.51,122.58
3,0.1211,5438.36,2.51,122.6
4,0.1225,5407.24,2.51,122.57
5,0.1202,5459.08,2.51,122.56
6,0.12180000000000002,5450.84,2.51,122.56
7,0.12070000000000002,5455.0,2.52,122.66
8,0.12100000000000004,5459.92,2.51,122.72
9,0.12100000000000001,5450.92,2.52,122.71
10,0.12030000000000002,5453.44,2.52,122.75
12,0.12099999999999998,5458.52,2.52,122.7
14,0.03399999999999998,6257.96,1.0,0.0
16,0.03309999999999995,6243.48,1.0,0.0
18,0.034299999999999976,6250.52,1.0,0.0
20,0.03409999999999998,6248.96,1.0,0.0
25,0.03349999999999997,6238.76,1.0,0.0
30,0.031899999999999956,6225.76,1.0,0.0
35,0.033599999999999956,6249.68,1.0,0.0
40,0.033399999999999964,6250.04,1.0,0.0
45,0.032199999999999965,6234.72,1.0,0.0
50,0.03259999999999996,6250.44,1.0,0.0
60,0.03309999999999998,6245.24,1.0,0.0
70,0.03269999999999996,6254.36,1.0,0.0
80,0.032299999999999954,6249.0,1.0,0.0
90,0.03339999999999997,6244.56,1.0,0.0
100,0.03329999999999997,6243.12,1.0,0.0
150,0.033199999999999966,6250.4,1.0,0.0
200,0.03299999999999996,6250.08,1.0,0.0
250,0.034199999999999973,6246.96,1.0,0.0
300,0.03309999999999995,6248.48,1.0,0.0
400,0.032199999999999965,6235.84,1.0,0.0
500,0.03339999999999997,6226.12,1.0,0.0
750,0.03359999999999996,6239.04,1.0,0.0
1000,0.03289999999999996,6237.0,1.0,0.0
1500,0.03409999999999998,6237.52,1.0,0.0
2000,0.03389999999999997,6252.12,1.0,0.0
2500,0.03289999999999996,6250.24,1.0,0.0
3000,0.032999999999999974,6247.84,1.0,0.0
4000,0.03299999999999997,6245.36,1.0,0.0
5000,0.03259999999999995,6248.76,1.0,0.0
7500,0.032799999999999954,6249.88,1.0,0.0
10000,0.03359999999999996,6247.68,1.0,0.0
