K,Average User Time (s),Average Memory (KB),Passes
1,10.466,86148.8,5
2,9.67,106175.2,3
3,10.936,123929.6,2
4,11.618,141098.4,2
5,14.478,155308.8,2
6,13.902,159289.6,1
7,15.232,159319.2,1
8,14.646,159246.4,1
9,14.67,159286.4,1
10,14.552,159317.6,1
