N,Time (s),Memory (KB),Passes
10,0.0,3124.0,2.99
20,0.0,4176.0,3.0
30,0.0,4136.0,3.02
40,0.0,4180.0,3.0
50,0.0,4152.0,3.03
60,0.0,3148.0,3.04
70,0.0,4192.0,3.01
80,0.0,3160.0,3.01
90,0.0,4152.0,3.02
100,0.0,4152.0,3.02
150,0.0,4180.0,3.1
200,0.0,4152.0,3.13
250,0.0,4168.0,3.13
300,0.01,4188.0,3.21
350,0.01,3144.0,3.2
400,0.01,4148.0,3.28
450,0.01,3136.0,3.23
500,0.01,3104.0,3.37
550,0.01,4184.0,3.23
600,0.02,4188.0,3.34
650,0.02,3188.0,3.33
700,0.02,4152.0,3.36
750,0.02,4176.0,3.38
800,0.03,4144.0,3.42
850,0.03,4184.0,3.42
900,0.03,4152.0,3.43
950,0.03,4172.0,3.38
1000,0.04,3152.0,3.41
