N,Time (s),Memory (KB),Passes
10,0.0,4152.0,1.0
20,0.0,3136.0,1.0
30,0.0,3128.0,1.0
40,0.0,3160.0,1.34
50,0.0,4184.0,1.81
60,0.0,4184.0,1.98
70,0.0,4156.0,2.0
80,0.0,4188.0,2.0
90,0.0,4192.0,2.0
100,0.0,4180.0,2.0
150,0.0,3224.0,2.0
200,0.0,4172.0,2.01
250,0.0,3132.0,2.01
300,0.0,4184.0,2.05
350,0.01,4156.0,2.09
400,0.01,4164.0,2.1
450,0.01,3124.0,2.09
500,0.01,3132.0,2.15
550,0.01,4176.0,2.13
600,0.01,4148.0,2.18
650,0.02,3140.0,2.19
700,0.02,3136.0,2.18
750,0.02,3108.0,2.22
800,0.02,3136.0,2.21
850,0.02,3156.0,2.14
900,0.03,4160.0,2.16
950,0.03,5204.0,2.15
1000,0.03,5176.0,2.24
