K,Average User Time (s),Average Memory (KB),Passes
1,168.6433,82781.3333,603
2,32.4667,100289.3333,28
3,21.4633,117002.6667,6
4,21.8833,140860.0,5
5,10.02,156804.0,2
6,16.14,176548.0,2
7,0.4567,188886.6667,1
8,0.44,188840.0,1
9,0.4633,188857.3333,1
10,0.48,188877.3333,1
