K,Time (s),Memory (KB),Passes
1,0.02,2336.0,3
2,0.03,2432.0,3
3,0.04,2608.0,2
4,0.06,2784.0,2
5,0.07,3024.0,2
6,0.08,3152.0,2
7,0.0,1968.0,1
8,0.0,1968.0,1
9,0.0,1968.0,1
10,0.0,2144.0,1
