N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3188.0,1.0,3.0
20,0.0,4160.0,1.0,4.0
30,0.0,4148.0,2.0,29.0
40,0.0,3196.0,2.0,37.0
50,0.0,3132.0,2.0,46.0
60,0.0,4160.0,2.0,56.0
70,0.0,3188.0,2.0,67.0
80,0.0,4180.0,2.0,75.0
90,0.0,4188.0,2.0,82.0
100,0.0,3188.0,2.0,91.0
200,0.0,3192.0,2.0,193.0
300,0.0,3184.0,3.0,289.0
400,0.01,3128.0,3.0,384.0
500,0.01,3184.0,3.0,483.0
600,0.02,4160.0,3.0,581.0
700,0.02,3188.0,3.0,681.0
800,0.03,4180.0,3.0,778.0
900,0.03,4144.0,3.0,878.0
1000,0.04,5212.0,3.0,983.0
1200,0.05,5176.0,3.0,1162.0
1400,0.07,4164.0,3.0,1353.0
1600,0.09,4204.0,3.0,1560.0
1800,0.1,5200.0,3.0,1774.0
2000,0.12,5184.0,3.0,1962.0
2500,0.17,6196.0,3.0,2453.0
3000,0.23,6200.0,3.0,2968.0
3500,0.28,7212.0,3.0,3458.0
4000,0.34,7224.0,3.0,3955.0
4500,0.41,7220.0,3.0,4443.0
5000,0.49,8244.0,3.0,4940.0
6000,0.63,9304.0,3.0,5926.0
7000,0.8,8236.0,3.0,6933.0
8000,0.98,10332.0,3.0,7921.0
9000,1.55,10300.0,4.0,8928.0
10000,1.8,12340.0,4.0,9937.0
