N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2e-05,5200.0,1.0,2.521
20,5.9999999999999995e-05,5212.0,1.0,4.515
30,0.0002,4152.0,1.997,27.774
40,0.0003,4156.0,1.999,37.043
50,0.00041999999999999996,3132.0,2.0,46.488
60,0.00046,3120.0,2.0,55.981
70,0.0007,3136.0,2.0,65.593
80,0.00079,4152.0,2.0,75.121
90,0.00061,3108.0,2.0,84.632
100,0.00092,4140.0,2.0,94.361
200,0.00269,3108.0,2.022,191.584
300,0.0064,4180.0,2.508,288.958
400,0.01044,3180.0,2.958,386.185
500,0.01548,3188.0,3.0,483.669
600,0.019649999999999997,3164.0,3.0,581.192
700,0.023530000000000002,3108.0,3.0,679.288
800,0.0214,4184.0,3.0,777.518
900,0.03546,3108.0,3.0,875.782
1000,0.04356,4140.0,3.0,974.421
1200,0.054270000000000006,4132.0,3.0,1171.95
1400,0.07263,4196.0,3.0,1369.77
1600,0.09167,4220.0,3.0,1567.73
1800,0.09505,4132.0,3.0,1766.22
2000,0.08108,4132.0,3.0,1964.08
2500,0.13948,5156.0,3.0,2460.53
3000,0.22676,5196.0,3.0,2956.97
3500,0.27614,7248.0,3.0,3453.49
4000,0.22271000000000002,6180.0,3.0,3950.59
4500,0.40764,8244.0,3.0,4447.44
5000,0.41497,7284.0,3.004,4945.3
6000,0.6276499999999999,8228.0,3.08,5940.44
7000,0.91989,10284.0,3.537,6934.41
8000,1.2698099999999999,10324.0,3.919,7927.76
9000,1.52793,11332.0,3.998,8920.76
10000,1.8256,12348.0,4.0,9913.82
