K,Time (s),Memory (MB),Passes
1,0.02,5.49,4
2,0.02,5.20,3
3,0.02,5.06,3
4,0.01,5.47,2
5,0.01,5.53,2
6,0.01,5.80,2
7,0.00,4.17,1
8,0.00,4.17,1
9,0.00,4.17,1
10,0.00,4.17,1
