K,Time (s),Memory (MB),Passes
1,0.13,4.69,33
2,0.04,4.83,8
3,0.02,4.97,4
4,0.01,5.12,3
5,0.02,5.50,3
6,0.01,5.69,3
7,0.00,4.17,1
8,0.00,4.17,1
9,0.00,4.17,1
10,0.00,4.17,1
