K,Time (s),Memory (MB),Passes
1,0.18,4.50,43
2,0.05,4.85,14
3,0.03,4.91,7
4,0.02,5.26,4
5,0.01,5.48,4
6,0.01,5.58,3
7,0.00,4.17,1
8,0.00,4.17,1
9,0.00,4.17,1
10,0.00,4.17,1
