Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,14,1,1632.0,14
5000,14,1,1632.0,14
6000,14,1,1632.0,14
7000,14,1,1632.0,14
8000,14,1,1632.0,14
9000,14,1,1632.0,14
10000,14,1,1632.0,14
11000,14,1,1632.0,14
12000,14,1,1728.0,14
13000,14,1,1632.0,14
14000,14,1,1632.0,14
15000,14,1,1632.0,14
16000,14,1,1632.0,14
17000,14,1,1632.0,14
18000,14,1,1632.0,14
19000,14,1,1632.0,14
20000,14,1,1632.0,14
21000,14,1,1632.0,14
22000,14,1,1632.0,14
23000,14,1,1632.0,14
24000,14,1,1632.0,14
25000,14,1,1728.0,14
30000,14,1,1632.0,14
35000,14,1,1632.0,14
40000,14,1,1632.0,14
45000,14,1,1632.0,14
50000,14,1,1632.0,14
60000,14,1,1632.0,14
70000,14,1,1632.0,14
80000,14,1,1632.0,14
90000,14,1,1632.0,14
100000,14,1,1632.0,14
200000,14,1,1632.0,14
300000,14,1,1632.0,14
400000,14,1,1632.0,14
500000,14,1,1632.0,14
600000,14,1,1632.0,14
700000,14,1,1632.0,14
800000,14,1,1696.0,14
900000,14,1,1728.0,14
1000000,14,1,1632.0,14
