K,Average User Time (s),Average Memory (KB),Passes
1,0.01,13660.0,1
2,0.0,13992.0,1
3,0.0,13676.0,1
4,0.01,14008.0,1
5,0.01,13908.0,1
6,0.0,14068.0,1
7,0.01,13892.0,1
8,0.01,13896.0,1
9,0.01,13948.0,1
10,0.01,13944.0,1
