N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3182.096,1.0,0.0
20,0.0,3181.724,1.0,0.0
30,0.0,3181.54,1.0,0.0
40,0.0,3183.836,1.0,36.179
50,0.0,3181.08,1.0,45.015
60,0.0,3181.864,1.0,53.747
70,0.0,3180.912,1.0,62.8
80,0.0,3180.004,1.0,71.529
90,0.0,3179.36,1.0,80.291
100,0.0,3180.808,1.0,89.101
200,0.0,3182.596,1.001,178.185
300,0.0,3182.86,1.002,267.349
400,0.0,3181.492,1.002,357.163
500,0.0,3183.008,1.006,446.458
600,0.00020000000000000004,3181.556,1.013,536.823
700,0.0,3183.316,1.007,626.615
800,0.0006000000000000003,3182.68,1.015,716.571
900,0.001470000000000001,3180.732,1.01,807.532
1000,0.0011100000000000007,3185.48,1.015,897.673
1200,0.007339999999999888,3493.42,1.015,1078.35
1400,0.009959999999999832,4183.544,1.011,1259.448
1600,0.010109999999999831,4205.86,1.016,1440.872
1800,0.01087999999999982,4206.668,1.019,1622.805
2000,0.01739999999999975,4206.272,1.017,1804.355
2500,0.021139999999999694,4392.212,1.028,2258.862
3000,0.03048000000000035,5215.424,1.044,2715.289
3500,0.0401799999999994,5282.332,1.048,3171.518
4000,0.04884999999999936,5686.792,1.042,3628.935
4500,0.05811000000000027,6240.816,1.055,4086.734
5000,0.06657000000000032,6445.952,1.068,4543.755
6000,0.08689000000000045,7340.596,1.061,5459.951
7000,0.10758999999999894,8109.048,1.091,6378.006
8000,0.13080999999999934,8833.192,1.096,7297.358
9000,0.15468000000000154,9721.572,1.121,8215.791
10000,0.1802400000000002,10552.772,1.138,9137.303
