N,Time (s),Memory (KB),Passes
10,0.0,3996.0,2.0
20,0.0,3972.0,2.0
30,0.0,4156.0,2.0
40,0.0,4036.0,2.0
50,0.0,3972.0,2.0
60,0.0,3908.0,2.0
70,0.0,4100.0,2.0
80,0.0,4076.0,2.0
90,0.0,4060.0,2.0
100,0.0,4140.0,2.0
150,0.0,4156.0,2.0
200,0.0,4224.0,2.0
250,0.0,4276.0,2.0
300,0.0,4248.0,2.0
350,0.0,4364.0,2.0
400,0.0,4464.0,2.0
450,0.0,4492.0,2.0
500,0.0,4612.0,2.0
600,0.0,4776.0,3.0
700,0.0,4880.0,3.0
800,0.01,4936.0,3.0
900,0.01,5160.0,3.0
1000,0.01,5304.0,3.0
1200,0.01,5444.0,3.0
1400,0.01,5784.0,3.0
1600,0.01,6000.0,3.0
1800,0.01,6316.0,3.0
2000,0.01,6536.0,3.0
2500,0.02,7340.0,3.0
3000,0.02,7920.0,3.0
3500,0.03,8460.0,3.0
4000,0.03,9144.0,3.0
4500,0.04,9840.0,3.0
5000,0.04,10532.0,3.0
6000,0.05,11780.0,3.0
7000,0.06,13148.0,3.0
8000,0.08,14516.0,3.0
9000,0.08,16024.0,3.0
10000,0.12,17376.0,2.6
