N,Time (s),Memory (KB),Passes
10,0.0,3976.0,2.0
20,0.0,4000.0,3.0
30,0.0,3996.0,3.04
40,0.0,4012.0,3.07
50,0.0,3996.0,3.1
60,0.0,3832.0,3.12
70,0.0,3992.0,3.15
80,0.0,4012.0,3.17
90,0.0,3912.0,3.2
100,0.0,4068.0,3.22
150,0.0,4072.0,3.32
200,0.0,4028.0,3.39
250,0.0,4056.0,3.45
300,0.0,4108.0,3.51
350,0.0,4100.0,3.55
400,0.0,4156.0,3.59
450,0.0,4172.0,3.63
500,0.0,4192.0,3.65
600,0.01,4216.0,3.7
700,0.01,4288.0,3.74
800,0.01,4512.0,3.78
900,0.01,4408.0,3.8
1000,0.01,4516.0,3.84
1200,0.01,4588.0,3.87
1400,0.02,4652.0,3.89
1600,0.02,4632.0,3.92
1800,0.02,4868.0,3.94
2000,0.03,4880.0,3.95
2500,0.03,4976.0,3.98
3000,0.04,5460.0,4.0
3500,0.05,5740.0,4.01
4000,0.06,5808.0,4.02
4500,0.06,6068.0,4.02
5000,0.08,6476.0,4.03
6000,0.09,7076.0,4.04
7000,0.11,7316.0,4.05
8000,0.13,7788.0,4.06
9000,0.15,8712.0,4.07
10000,0.11,9048.0,2.85
