K,Time (s),Memory (KB),Passes
1,20.87,590184.0,10
2,20.4,420328.0,9
3,16.96,408100.0,8
4,18.22,413444.0,8
5,17.04,478928.0,8
6,15.67,357980.0,7
7,14.76,338188.0,7
8,15.6,377296.0,7
9,14.26,419328.0,7
10,13.71,436348.0,6
