K,Average User Time (s),Average Memory (KB),Passes
1,0.17,11056.0,7
2,0.17,11248.0,4
3,0.24,11449.6,3
4,0.36,11651.2,2
5,0.53,11862.4,2
6,0.66,12089.6,2
7,0.728,12179.2,2
8,0.74,12336.0,1
9,0.744,12323.2,1
10,0.736,12220.8,1
