K,Average User Time (s),Average Memory (KB),Passes
1,62.9333,62644.0,294
2,23.69,77146.6667,67
3,12.1033,87354.6667,18
4,3.6367,105009.3333,4
5,5.5467,115329.3333,3
6,7.6967,131704.0,3
7,0.28,136053.3333,1
8,0.2933,136010.6667,1
9,0.2733,136018.6667,1
10,0.2833,136084.0,1
