K,Time (s),Memory (KB),Passes
1,0.4,4148.0,2.0
2,0.4,4160.0,2.0
3,0.41,5176.0,2.0
4,0.41,5176.0,2.0
5,0.4,4156.0,2.0
6,0.4,4196.0,2.0
7,0.41,4168.0,2.0
8,0.4,5192.0,2.0
9,0.4,4156.0,2.0
10,0.4,4132.0,2.0
12,0.4,5208.0,2.0
14,0.4,5184.0,2.0
16,0.41,6196.0,2.0
18,0.42,5216.0,2.0
20,0.41,5176.0,2.0
25,0.42,5184.0,1.98
30,0.39,7256.0,1.86
35,0.36,6296.0,1.7
40,0.32,7248.0,1.48
50,0.31,8308.0,1.38
75,0.3,10296.0,1.3
100,0.3,12360.0,1.28
250,0.34,26660.0,1.28
500,0.12,18636.0,1.0
750,0.12,19764.0,1.0
1000,0.12,19156.0,1.0
2500,0.12,19040.0,1.0
5000,0.12,18732.0,1.0
7500,0.12,18692.0,1.0
10000,0.12,19628.0,1.0
