K,Time (s),Memory (KB),Passes
1,8.42,3108.0,66.47
2,4.12,3108.0,33.31
3,2.8,3128.0,22.7
4,2.28,3144.0,18.0
5,1.89,4132.0,15.24
6,1.67,5188.0,13.46
7,1.51,5184.0,12.12
8,1.39,5200.0,11.09
9,1.29,4160.0,10.39
10,1.2,4136.0,9.75
12,1.1,5176.0,8.83
14,0.99,4240.0,7.95
16,0.95,6224.0,7.59
18,0.88,6240.0,7.06
20,0.84,5188.0,6.72
25,0.74,6200.0,5.77
30,0.71,6204.0,5.7
35,0.68,7208.0,5.36
40,0.62,7216.0,4.82
50,0.57,9312.0,4.47
75,0.47,11348.0,3.57
100,0.43,12408.0,3.29
250,0.45,26740.0,3.0
500,0.53,51264.0,2.02
750,0.52,50208.0,2.0
1000,0.52,50212.0,2.0
2500,0.52,51296.0,2.0
5000,0.52,51292.0,2.0
7500,0.52,50228.0,2.0
10000,0.52,50212.0,2.0
