K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,1.307309999999993,7139.944,2.86,9892.599
2,1.3067999999999926,7239.372,2.86,9892.599
3,1.303139999999994,7241.228,2.847,9892.553
4,1.3315599999999908,7250.864,2.846,9892.536
5,1.3206999999999829,7243.752,2.84,9892.56
6,1.3069299999999924,7231.812,2.833,9892.513
7,1.3088499999999905,7237.604,2.835,9892.635
8,1.3054099999999913,7239.544,2.839,9892.616
9,1.3038599999999927,7232.5,2.837,9892.642
10,1.303949999999993,7242.82,2.84,9892.52
12,1.3088099999999931,7239.176,2.837,9892.61
14,1.3084499999999935,7223.208,2.841,9892.536
16,1.314129999999993,7236.296,2.843,9892.627
18,1.3191599999999928,7220.968,2.844,9892.516
20,1.31036999999999,7244.724,2.839,9892.401
25,1.3121899999999926,7228.864,2.845,9892.64
30,1.316680000000009,7226.704,2.84,9892.654
35,1.3128799999999914,7239.056,2.839,9892.517
40,1.3068899999999932,7251.244,2.839,9892.692
45,1.3062899999999924,7254.508,2.844,9892.492
50,1.3023299999999938,7261.74,2.842,9892.601
60,1.3019699999999925,7264.796,2.844,9892.658
70,1.3018899999999933,7255.488,2.84,9892.631
80,1.3041499999999997,7263.548,2.835,9892.732
90,1.3095599999999896,7266.972,2.832,9892.617
100,0.2710800000000012,25651.608,1.0,0.0
150,0.2704700000000013,25686.9,1.0,0.0
200,0.2705400000000014,25687.2,1.0,0.0
250,0.27045000000000113,25694.908,1.0,0.0
300,0.2695200000000011,25690.9,1.0,0.0
400,0.2703300000000008,25692.932,1.0,0.0
500,0.2672700000000009,25693.168,1.0,0.0
750,0.2685200000000016,25698.776,1.0,0.0
1000,0.26734000000000063,25690.932,1.0,0.0
1500,0.2684700000000017,25672.864,1.0,0.0
2000,0.2809499999999999,25678.668,1.0,0.0
2500,0.2688900000000001,25690.864,1.0,0.0
3000,0.26960000000000145,25672.764,1.0,0.0
4000,0.27165000000000156,25677.072,1.0,0.0
5000,0.27250000000000046,25664.044,1.0,0.0
7500,0.27002000000000176,25666.24,1.0,0.0
10000,0.2676100000000005,25688.984,1.0,0.0
