K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,1.2655499999999842,7335.348,2.838,9892.758
2,1.18718000000001,8288.476,2.804,9892.522
3,1.1601500000000158,9308.268,2.752,9893.088
4,1.092600000000015,10333.916,2.516,9893.198
5,0.988260000000013,11359.088,2.081,9892.974
6,0.9875900000000103,12379.404,2.027,9892.87
7,0.9836800000000115,13388.272,2.009,9892.786
8,1.013970000000004,14334.82,2.004,9892.651
9,1.0287299999999977,15356.752,2.0,9892.766
10,1.0397299999999878,15718.96,2.0,9893.036
12,1.0759299999999916,17499.292,2.0,9892.804
14,1.1116900000000098,19520.912,2.0,9892.489
16,1.1797900000000117,21536.68,2.0,9893.12
18,1.2230800000000088,23582.0,2.0,9892.866
20,1.2949900000000079,24666.044,2.0,9892.6
25,1.413239999999986,29739.964,2.0,9893.056
30,1.5542500000000044,34818.88,2.0,9893.322
35,1.6077399999999997,38965.264,2.0,9893.292
40,1.6799000000000064,44055.612,2.0,9893.352
45,1.7600600000000195,48204.752,2.0,9893.198
50,1.883659999999989,53266.316,2.0,9892.908
60,2.0716800000000206,62515.556,2.0,9893.106
70,2.106849999999992,71724.964,2.0,9893.176
80,2.215110000000011,80965.66,2.0,9893.112
90,2.2635100000000175,90435.972,2.0,9893.024
100,0.27491000000000076,25676.616,1.0,0.0
150,0.2732000000000009,25678.176,1.0,0.0
200,0.2713100000000016,25682.036,1.0,0.0
250,0.27498000000000056,25686.384,1.0,0.0
300,0.270820000000001,25677.48,1.0,0.0
400,0.2722200000000017,25688.724,1.0,0.0
500,0.27059000000000133,25678.776,1.0,0.0
750,0.2709000000000017,25667.456,1.0,0.0
1000,0.27055000000000107,25679.024,1.0,0.0
1500,0.2718600000000015,25665.384,1.0,0.0
2000,0.27194000000000107,25673.052,1.0,0.0
2500,0.2724200000000015,25680.728,1.0,0.0
3000,0.27278000000000113,25680.568,1.0,0.0
4000,0.27253000000000116,25672.756,1.0,0.0
5000,0.27238000000000123,25673.364,1.0,0.0
7500,0.26921000000000134,25662.504,1.0,0.0
10000,0.268550000000001,25661.428,1.0,0.0
