K,Time (s),Memory (KB),Passes
1,3.72,8852.0,124.39
2,0.35,9124.0,11.95
3,0.13,10292.0,4.0
4,0.14,11400.0,4.0
5,0.08,12880.0,3.0
6,0.09,13344.0,3.0
7,0.1,14544.0,3.0
8,0.1,15380.0,3.0
9,0.09,16444.0,3.0
10,0.11,17180.0,3.0
12,0.1,19076.0,3.0
14,0.11,21108.0,3.0
16,0.07,21328.0,2.0
18,0.08,21432.0,2.0
20,0.08,21532.0,2.0
25,0.07,21332.0,2.0
30,0.07,21328.0,2.0
35,0.07,21520.0,2.0
40,0.07,21476.0,2.0
50,0.07,21528.0,2.0
75,0.08,21340.0,2.0
100,0.07,21520.0,2.0
250,0.08,21404.0,2.0
500,0.07,21412.0,2.0
750,0.08,21564.0,2.0
1000,0.08,21512.0,2.0
2500,0.08,21512.0,2.0
5000,0.07,21328.0,2.0
7500,0.07,21428.0,2.0
10000,0.08,21528.0,2.0
