K,Time (s),Memory (KB),Passes
1,0.18,9088.0,4.07
2,0.18,8836.0,4.07
3,0.19,8884.0,4.07
4,0.18,8880.0,4.06
5,0.19,8840.0,4.07
6,0.18,8688.0,4.07
7,0.18,8660.0,4.07
8,0.2,8724.0,4.08
9,0.18,8852.0,4.08
10,0.18,9020.0,4.09
12,0.18,9428.0,4.08
14,0.2,8600.0,4.08
16,0.18,8700.0,4.08
18,0.19,9008.0,4.08
20,0.19,8844.0,4.07
25,0.18,9184.0,4.06
30,0.18,9160.0,4.06
35,0.18,8588.0,4.04
40,0.18,8744.0,4.05
50,0.18,8828.0,4.03
75,0.18,8780.0,4.02
100,0.19,8792.0,4.01
250,0.17,8900.0,4.0
500,0.17,9052.0,4.0
750,0.18,9112.0,4.0
1000,0.17,9532.0,3.99
2500,0.19,10320.0,4.0
5000,0.15,11656.0,3.0
7500,0.14,12092.0,3.0
10000,0.12,12204.0,2.0
