K,Time (s),Memory (KB),Passes
50,0.02,7244.0,2.18
60,0.02,7240.0,2.11
70,0.02,6180.0,2.02
80,0.02,7224.0,2.0
90,0.02,6180.0,2.0
100,0.02,7224.0,2.0
150,0.02,6208.0,2.0
200,0.02,6200.0,2.0
250,0.02,7244.0,2.0
300,0.02,7260.0,2.0
350,0.02,6176.0,2.0
400,0.02,7264.0,2.0
450,0.02,6200.0,2.0
500,0.02,7260.0,2.0
550,0.02,7264.0,2.0
600,0.02,6180.0,2.0
650,0.02,7228.0,2.0
700,0.02,7244.0,2.0
750,0.02,7224.0,2.0
800,0.02,6224.0,2.0
850,0.02,7240.0,2.0
900,0.02,6212.0,2.0
950,0.02,6220.0,2.0
1000,0.02,7208.0,2.0
