K,Iteration,User Time (s),Memory (KB),Passes
2,1,13.7,72924.0,26
2,2,13.98,72992.0,26
2,3,13.76,72940.0,26
2,4,14.48,72992.0,26
2,5,14.03,73068.0,26
2,6,13.91,72992.0,26
2,7,13.74,72984.0,26
2,8,15.41,72916.0,26
2,9,13.87,72944.0,26
2,10,15.35,72940.0,26
2,11,14.14,72936.0,26
2,12,15.4,72940.0,26
2,13,14.08,73088.0,26
2,14,16.02,72936.0,26
2,15,14.18,73076.0,26
2,16,13.96,72996.0,26
2,17,13.93,73036.0,26
2,18,14.38,72940.0,26
2,19,13.92,72904.0,26
2,20,13.99,72996.0,26
2,21,14.38,72892.0,26
2,22,13.84,73068.0,26
2,23,14.5,73048.0,26
2,24,14.09,72936.0,26
2,25,13.87,73076.0,26
2,26,14.21,72976.0,26
2,27,13.87,72940.0,26
2,28,13.85,73000.0,26
2,29,14.08,73088.0,26
2,30,14.0,72976.0,26
2,31,14.17,72944.0,26
2,32,13.95,73032.0,26
2,33,14.8,73068.0,26
2,34,13.85,72992.0,26
2,35,14.65,72912.0,26
2,36,14.03,72892.0,26
2,37,13.96,73088.0,26
2,38,14.14,73048.0,26
2,39,13.88,72932.0,26
2,40,14.03,72940.0,26
2,41,14.12,72984.0,26
2,42,14.56,73000.0,26
2,43,14.43,73052.0,26
2,44,13.89,72996.0,26
2,45,13.83,72900.0,26
2,46,13.84,72984.0,26
2,47,14.47,72944.0,26
2,48,13.91,72920.0,26
2,49,14.39,72888.0,26
2,50,13.99,73088.0,26
