K,Iteration,User Time (s),Memory (KB),Passes
3,1,3.8,87784.0,4
3,2,3.93,87932.0,4
3,3,3.76,87856.0,4
3,4,3.96,87784.0,4
3,5,4.05,87788.0,4
3,6,3.78,87856.0,4
3,7,4.22,87820.0,4
3,8,3.75,87928.0,4
3,9,3.79,87872.0,4
3,10,3.82,87964.0,4
3,11,3.84,87840.0,4
3,12,3.81,87972.0,4
3,13,3.84,87876.0,4
3,14,3.73,87972.0,4
3,15,3.78,87928.0,4
3,16,3.76,87796.0,4
3,17,3.84,87868.0,4
3,18,4.07,87944.0,4
3,19,4.05,87896.0,4
3,20,4.11,87872.0,4
3,21,3.9,87984.0,4
3,22,4.05,87888.0,4
3,23,3.78,87788.0,4
3,24,3.82,87944.0,4
3,25,3.84,87876.0,4
3,26,3.76,87928.0,4
3,27,3.76,87892.0,4
3,28,3.77,87796.0,4
3,29,3.74,87784.0,4
3,30,4.16,87876.0,4
3,31,3.92,87944.0,4
3,32,4.2,87984.0,4
3,33,3.83,87972.0,4
3,34,3.99,87900.0,4
3,35,3.81,87888.0,4
3,36,3.77,87820.0,4
3,37,3.8,87960.0,4
3,38,3.75,87896.0,4
3,39,3.83,87800.0,4
3,40,3.84,87956.0,4
3,41,3.91,87836.0,4
3,42,4.03,87820.0,4
3,43,3.75,87836.0,4
3,44,4.03,87856.0,4
3,45,3.84,87820.0,4
3,46,4.15,87892.0,4
3,47,3.74,87980.0,4
3,48,3.81,87944.0,4
3,49,3.83,87960.0,4
3,50,3.78,87796.0,4
