K,Average User Time (s),Average Memory (KB),Passes
1,39.166,137652.8,3
2,34.874,162992.0,2
3,42.002,187803.2,2
4,36.444,191264.0,1
5,39.498,191135.2,1
6,36.34,191224.8,1
7,39.964,191236.8,1
8,36.344,191185.6,1
9,39.702,191256.0,1
10,36.556,191165.6,1
