K,Iteration,User Time (s),Memory (KB),Passes
1,1,35.69,59468.0,4
1,2,36.13,59528.0,4
1,3,36.24,59452.0,4
1,4,35.55,59440.0,4
1,5,33.83,59472.0,4
1,6,34.89,59516.0,4
1,7,34.62,59464.0,4
1,8,34.96,59528.0,4
1,9,36.83,59548.0,4
1,10,35.06,59548.0,4
1,11,46.35,59412.0,4
1,12,48.7,59412.0,4
1,13,46.37,59500.0,4
1,14,44.33,59540.0,4
1,15,35.27,59468.0,4
1,16,36.07,59468.0,4
1,17,36.98,59436.0,4
1,18,35.89,59472.0,4
1,19,37.11,59548.0,4
1,20,41.56,59460.0,4
1,21,14.54,59496.0,4
1,22,39.31,59364.0,4
1,23,40.07,59516.0,4
1,24,13.82,59376.0,4
1,25,38.56,59552.0,4
1,26,14.26,59472.0,4
1,27,39.03,59360.0,4
1,28,14.82,59392.0,4
1,29,37.67,59408.0,4
1,30,14.14,59540.0,4
1,31,38.22,59496.0,4
1,32,14.25,59464.0,4
1,33,37.94,59536.0,4
1,34,14.16,59468.0,4
1,35,39.07,59468.0,4
1,36,15.49,59452.0,4
1,37,38.47,59432.0,4
1,38,14.18,59460.0,4
1,39,38.16,59464.0,4
1,40,15.3,59512.0,4
1,41,37.74,59416.0,4
1,42,14.18,59444.0,4
1,43,37.49,59468.0,4
1,44,14.28,59544.0,4
1,45,38.93,59496.0,4
1,46,14.4,59464.0,4
1,47,49.85,59464.0,4
1,48,13.76,59400.0,4
1,49,51.2,59540.0,4
1,50,15.29,59428.0,4
