N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3180.304,1.0,9.638
20,0.0,3181.828,1.005,18.481
30,0.0,3183.62,1.033,27.414
40,0.0,3181.272,1.079,36.18
50,0.0,3183.8,1.11,45.014
60,0.0,3183.372,1.153,53.749
70,0.0,3180.984,1.169,62.806
80,0.0,3179.68,1.223,71.531
90,0.0,3182.74,1.278,80.283
100,0.0,3180.752,1.302,89.085
200,0.0,3181.428,1.603,178.207
300,0.0,3183.172,1.767,267.485
400,0.0,3183.468,1.857,357.201
500,0.0,3182.012,1.919,446.606
600,0.0003100000000000001,3183.104,1.95,536.838
700,0.00018,3182.376,1.959,626.734
800,9.999999999999999e-05,3181.892,1.977,716.577
900,0.007479999999999885,3182.46,1.989,807.608
1000,0.007619999999999882,3182.904,1.992,897.625
1200,0.009979999999999831,3182.616,1.998,1078.317
1400,0.010019999999999833,3182.44,2.001,1259.575
1600,0.013109999999999783,4203.216,2.001,1441.17
1800,0.019899999999999668,4204.564,2.0,1622.939
2000,0.020019999999999667,4207.972,1.999,1804.405
2500,0.02996000000000038,4206.592,2.0,2259.959
3000,0.039569999999999377,4205.632,2.001,2715.572
3500,0.04921999999999934,5228.764,2.0,3172.563
4000,0.05902000000000047,5226.884,2.0,3630.644
4500,0.06840999999999998,5230.324,2.0,4087.259
5000,0.07795999999999872,5236.528,2.0,4544.986
6000,0.09969999999999891,6244.46,2.002,5460.896
7000,0.12225000000000076,7263.612,2.001,6380.237
8000,0.14785000000000134,7273.052,2.0,7298.162
9000,0.17274999999999946,8290.144,2.001,8218.154
10000,0.19890999999999798,8301.244,2.002,9139.526
