M,Time (s),Memory (KB),Passes
100,0.0,4152.0,2.0
200,0.0,4136.0,2.0
300,0.0,3192.0,2.0
400,0.0,4180.0,2.0
500,0.0,4132.0,2.0
600,0.0,4152.0,2.0
700,0.0,4160.0,2.0
800,0.0,4136.0,2.0
900,0.0,4148.0,2.0
1000,0.0,4172.0,2.0
2000,0.0,3164.0,2.4
3000,0.01,3148.0,3.2
4000,0.01,4152.0,3.3
5000,0.01,4188.0,3.4
6000,0.01,4152.0,3.5
7000,0.01,4144.0,3.7
8000,0.01,3132.0,3.7
9000,0.01,4184.0,3.8
10000,0.01,4168.0,4.1
11000,0.02,3136.0,4.4
12000,0.02,4144.0,4.2
13000,0.02,5164.0,4.5
14000,0.02,4192.0,4.6
15000,0.02,4192.0,4.6
16000,0.02,5172.0,4.7
17000,0.02,5176.0,4.8
18000,0.03,5180.0,4.9
19000,0.03,4216.0,5.4
20000,0.03,5156.0,5.4
30000,0.05,5176.0,6.6
40000,0.08,5188.0,7.9
50000,0.12,5160.0,8.9
60000,0.16,4192.0,10.1
70000,0.19,5176.0,10.5
80000,0.23,4204.0,11.2
90000,0.26,5172.0,11.3
100000,0.29,5160.0,11.4
200000,0.67,4204.0,13.3
300000,1.18,5168.0,14.6
400000,1.68,4192.0,15.6
