M,Time (s),Memory (KB),Passes
100,0.0,3156.0,1.0
200,0.0,4180.0,1.0
300,0.0,3120.0,1.0
400,0.0,4144.0,1.0
500,0.0,4184.0,1.0
600,0.0,3152.0,1.0
700,0.0,4144.0,1.0
800,0.0,4148.0,1.0
900,0.0,3112.0,1.0
1000,0.0,4168.0,1.0
2000,0.0,3136.0,1.0
3000,0.01,4192.0,2.5
4000,0.01,4156.0,2.9
5000,0.01,4188.0,3.0
6000,0.01,3180.0,3.0
7000,0.01,4188.0,3.4
8000,0.01,4188.0,3.4
9000,0.01,4188.0,3.8
10000,0.01,3124.0,4.0
11000,0.01,4180.0,4.0
12000,0.02,4184.0,4.1
13000,0.02,3172.0,4.2
14000,0.02,3192.0,4.5
15000,0.02,4152.0,4.6
16000,0.02,3128.0,4.8
17000,0.03,4136.0,5.0
18000,0.03,4156.0,5.3
19000,0.03,4152.0,5.4
20000,0.03,4172.0,5.6
30000,0.06,4148.0,7.2
40000,0.1,3220.0,9.3
50000,0.14,4188.0,10.5
60000,0.18,4192.0,11.5
70000,0.21,3196.0,11.9
80000,0.25,3184.0,12.2
90000,0.29,4136.0,12.6
100000,0.32,4156.0,12.7
200000,0.71,4148.0,14.2
300000,1.2,4184.0,15.2
400000,1.73,3132.0,16.1
