M,Time (s),Memory (KB),Passes
100,0.0,4148.0,1.0
200,0.0,4188.0,1.0
300,0.0,3160.0,1.0
400,0.0,4176.0,1.0
500,0.0,3140.0,1.0
600,0.0,3132.0,1.0
700,0.0,3144.0,1.0
800,0.0,3148.0,1.0
900,0.0,4152.0,1.0
1000,0.0,4132.0,1.0
2000,0.0,3148.0,1.0
3000,0.0,3168.0,1.0
4000,0.0,3220.0,1.0
5000,0.0,4152.0,1.0
6000,0.0,5188.0,1.0
7000,0.0,4208.0,1.0
8000,0.0,5176.0,1.0
9000,0.0,4152.0,1.0
10000,0.0,4160.0,1.0
11000,0.01,5188.0,2.0
12000,0.01,4172.0,2.0
13000,0.01,5212.0,2.0
14000,0.01,5172.0,2.0
15000,0.01,4196.0,2.0
16000,0.01,4220.0,2.2
17000,0.01,4184.0,2.3
18000,0.01,4152.0,2.3
19000,0.02,5216.0,2.3
20000,0.02,4208.0,2.3
30000,0.03,5180.0,3.0
40000,0.04,4244.0,3.5
50000,0.06,5180.0,4.1
60000,0.07,4176.0,4.1
70000,0.09,5160.0,4.5
80000,0.1,5212.0,4.7
90000,0.12,4160.0,4.9
100000,0.14,4160.0,5.1
200000,0.29,5176.0,5.5
300000,0.48,5172.0,5.9
400000,0.68,5188.0,6.2
