M,Time (s),Memory (KB),Passes
100,0.0,4152.0,2.1
200,0.0,4188.0,3.2
300,0.0,4172.0,3.7
400,0.0,4152.0,3.8
500,0.0,4144.0,3.8
600,0.0,4172.0,4.3
700,0.0,3188.0,4.4
800,0.0,4156.0,4.5
900,0.01,4136.0,4.4
1000,0.01,4136.0,4.6
2000,0.01,3160.0,5.2
3000,0.01,4144.0,5.8
4000,0.01,4152.0,5.9
5000,0.01,3132.0,6.4
6000,0.01,3164.0,6.5
7000,0.02,4188.0,7.1
8000,0.02,4156.0,6.9
9000,0.02,4192.0,7.6
10000,0.03,4160.0,8.0
11000,0.03,4152.0,7.9
12000,0.03,3124.0,8.2
13000,0.03,4152.0,8.6
14000,0.04,3168.0,8.9
15000,0.04,4156.0,8.9
16000,0.04,3124.0,9.4
17000,0.05,4136.0,9.6
18000,0.05,3140.0,10.2
19000,0.05,4156.0,10.3
20000,0.06,3180.0,10.7
30000,0.1,3160.0,13.1
40000,0.17,3152.0,16.8
50000,0.26,4152.0,19.8
60000,0.33,4188.0,21.5
70000,0.4,4192.0,22.7
80000,0.49,3136.0,23.8
90000,0.56,4148.0,25.0
100000,0.63,4152.0,25.0
200000,1.43,4152.0,28.4
300000,2.29,4188.0,30.3
400000,3.36,3136.0,31.2
