N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4168.0,2.0,9.56
20,0.0,4184.0,2.04,15.4
30,0.0001,4168.0,2.58,19.96
40,0.0002,4196.0,2.9,24.25
50,0.0002,4196.0,3.0,27.51
60,0.0003,4168.0,3.0,31.05
70,0.0004,4168.0,3.0,34.01
80,0.0005,4196.0,3.0,37.16
90,0.0005,4168.0,3.0,40.63
100,0.0006,4224.0,3.01,42.18
200,0.0016,4192.0,3.14,60.21
300,0.0028000000000000004,4168.0,3.48,74.33
400,0.0040999999999999995,4188.0,3.64,78.24
500,0.005600000000000001,4168.0,3.85,81.84
600,0.0072,4168.0,3.9,86.44
700,0.0089,3128.0,3.9,83.66
800,0.0103,4168.0,3.94,86.42
900,0.011899999999999999,4176.0,3.94,81.6
1000,0.0137,4168.0,3.96,90.58
1200,0.0173,4164.0,3.95,80.0
1400,0.0212,4196.0,3.96,88.88
1600,0.0253,4132.0,4.0,76.54
1800,0.0291,5200.0,4.01,79.9
2000,0.032799999999999996,4132.0,3.98,85.86
2500,0.0436,5192.0,4.03,82.0
3000,0.0537,4168.0,4.03,81.14
3500,0.0692,6232.0,4.13,81.16
4000,0.0799,5192.0,4.12,76.67
4500,0.09179999999999999,6216.0,4.12,78.17
5000,0.1105,6244.0,4.21,86.99
6000,0.15130000000000002,6208.0,4.29,80.51
7000,0.1967,7240.0,4.44,82.7
8000,0.2426,7244.0,4.5,81.12
9000,0.3003,7204.0,4.54,74.71
10000,0.37520000000000003,9392.0,4.68,73.69
