N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2.9999999999999997e-05,4176.0,1.0,9.53
20,7.000000000000001e-05,4136.0,1.006,18.571
30,0.00014000000000000001,3152.0,1.037,27.839
40,0.00022,4152.0,1.084,37.069
50,0.00033,3108.0,1.114,46.368
60,0.00031,4156.0,1.157,55.81
70,0.00053,4180.0,1.171,65.27
80,0.00063,4152.0,1.23,74.656
90,0.00058,4192.0,1.282,84.237
100,0.0007,4160.0,1.307,93.654
200,0.00313,4144.0,1.608,189.576
300,0.00462,4164.0,1.771,286.38
400,0.0074199999999999995,3172.0,1.858,383.453
500,0.009460000000000001,4172.0,1.92,481.101
600,0.01242,3108.0,1.95,578.721
700,0.01653,3144.0,1.96,676.502
800,0.02034,3104.0,1.978,774.441
900,0.03131,3108.0,1.989,872.83
1000,0.02804,3140.0,1.992,971.028
1200,0.03623,5188.0,1.998,1167.45
1400,0.04899,4132.0,2.0,1364.51
1600,0.06669,4128.0,2.0,1561.6
1800,0.07335,4184.0,2.0,1758.88
2000,0.08126,4168.0,1.999,1956.2
2500,0.11739,4132.0,2.0,2450.49
3000,0.15352000000000002,5156.0,2.0,2945.19
3500,0.18916999999999998,5156.0,2.0,3439.62
4000,0.239,5156.0,2.0,3935.13
4500,0.28369,6180.0,2.0,4430.81
5000,0.34170999999999996,6220.0,2.0,4926.61
6000,0.50066,7204.0,2.0,5918.96
7000,0.75294,7236.0,2.0,6911.5
8000,0.90651,8228.0,2.0,7905.07
9000,1.21394,9296.0,2.0,8899.02
10000,1.1678499999999998,9252.0,2.0,9893.06
