M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,42048.0,1.0,0.15
2000,0.0011,44096.0,1.0,0.18
3000,0.0015,46144.0,1.0,0.44
4000,0.002,49220.0,1.0,0.34
5000,0.0026,53300.0,1.0,0.44
6000,0.003,56376.0,1.0,0.39
7000,0.0034999999999999996,59488.0,1.0,0.32
8000,0.004,63596.0,1.0,0.22
9000,0.0045000000000000005,64560.0,1.0,0.23
10000,0.0051,66608.0,1.0,0.22
12000,0.0060999999999999995,68664.0,1.0,0.14
14000,0.006500000000000001,69680.0,1.0,0.15
16000,0.0073,70720.0,1.0,0.05
18000,0.0079,71768.0,1.0,0.03
25000,0.0109,71716.0,1.0,23.89
30000,0.0121,74796.0,1.0,46.85
35000,0.0134,74828.0,1.0,131.07
40000,0.014499999999999999,75824.0,1.0,481.53
45000,0.0159,75852.0,1.0,1074.67
50000,0.0173,76848.0,1.0,1462.3
60000,0.02,75824.0,1.0,1702.8
70000,0.0229,75876.0,1.0,1582.69
80000,0.0252,75900.0,1.0,1482.84
90000,0.0282,75812.0,1.0,1386.25
100000,0.0305,75880.0,1.0,1303.25
200000,0.21350000000000002,12324.0,1.0,9424.2
300000,0.26890000000000003,12320.0,1.0,9619.57
400000,0.3193,13372.0,1.0,9717.64
500000,0.37229999999999996,13380.0,1.0,9775.5
600000,0.4254,14416.0,1.0,9816.24
700000,0.4767,12392.0,1.0,9844.31
800000,0.5253,13348.0,1.0,9865.55
900000,0.5817,13404.0,1.0,9881.13
1000000,0.6349,13188.0,1.0,9893.84
2000000,1.148,13228.0,1.0,9950.8
4000000,2.1757,12324.0,1.0,9977.62
6000000,3.2016000000000004,12324.0,1.0,9986.15
8000000,4.2203,13348.0,1.0,9990.53
10000000,5.322,11300.0,1.0,9992.86
15000000,7.9348,11300.0,1.0,9996.27
20000000,10.4791,13372.0,1.0,9997.71
25000000,13.081700000000001,13396.0,1.0,9998.66
30000000,15.826300000000002,11300.0,1.0,9999.13
35000000,18.1152,13384.0,1.0,9999.46
40000000,20.965999999999998,12360.0,1.0,9999.67
49995000,25.835900000000002,13348.0,1.0,10000.0
