N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2.9999999999999997e-05,5204.0,1.0,1.0
20,0.00020999999999999998,3168.0,1.37,20.0
30,0.0005200000000000001,4176.0,1.81,30.0
40,0.0009599999999999999,4180.0,1.958,40.0
50,0.00148,3184.0,1.991,50.0
60,0.00213,4180.0,1.999,60.0
70,0.00275,4180.0,2.0,70.0
80,0.00361,4152.0,2.0,80.0
90,0.00449,3192.0,2.0,90.0
100,0.00557,3156.0,2.0,100.0
200,0.0221,3112.0,2.0,200.0
300,0.04954,3160.0,2.0,300.0
400,0.08992,4168.0,2.0,400.0
500,0.1402,3144.0,2.0,500.0
600,0.19574,3108.0,2.0,600.0
700,0.20431,3164.0,2.0,700.0
800,0.31683,3108.0,2.0,800.0
900,0.3594,4160.0,2.0,900.0
1000,0.40782999999999997,4224.0,2.0,1000.0
1200,0.8014199999999999,4172.0,2.0,1200.0
1400,1.04525,4132.0,2.001,1400.0
1600,1.18984,4132.0,2.0,1600.0
1800,1.6887699999999999,4132.0,2.001,1800.0
2000,1.71875,4168.0,2.0,2000.0
2500,3.43194,5156.0,2.0,2500.0
3000,5.31461,5156.0,2.0,3000.0
3500,7.15447,5156.0,2.002,3500.0
4000,9.568959999999999,6176.0,2.0,4000.0
4500,11.837579999999999,7216.0,2.0,4500.0
5000,14.28881,7232.0,2.0,5000.0
6000,21.961509999999997,8224.0,2.001,6000.0
