N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2e-05,5180.0,1.0,1.0
20,0.00014000000000000001,3196.0,1.0,20.0
30,0.0003,4160.0,1.0,30.0
40,0.00041999999999999996,4200.0,1.0,40.0
50,0.0008,3188.0,1.0,50.0
60,0.00113,4148.0,1.0,60.0
70,0.00149,4192.0,1.0,70.0
80,0.00197,3132.0,1.0,80.0
90,0.00246,3188.0,1.001,90.0
100,0.0031,4176.0,1.0,100.0
200,0.01238,4176.0,1.001,200.0
300,0.0282,3140.0,1.002,300.0
400,0.05187,3168.0,1.002,400.0
500,0.08123999999999999,4188.0,1.006,500.0
600,0.11586,3132.0,1.013,600.0
700,0.14213,3108.0,1.007,700.0
800,0.18666999999999997,3108.0,1.015,800.0
900,0.21763,4172.0,1.01,900.0
1000,0.22758,5176.0,1.015,1000.0
1200,0.47079000000000004,4208.0,1.015,1200.0
1400,0.54487,4160.0,1.011,1400.0
1600,0.6150399999999999,5216.0,1.016,1600.0
1800,1.1396700000000002,4180.0,1.019,1800.0
2000,1.37235,5184.0,1.017,2000.0
2500,2.14367,5156.0,1.028,2500.0
3000,3.2969899999999996,5188.0,1.044,3000.0
