Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,1,2,10608.0,1
12000,1,2,10736.0,1
13000,3,1,12624.0,3
14000,3,1,12656.0,3
15000,3,1,12688.0,3
16000,3,1,12608.0,3
17000,3,1,12704.0,3
18000,3,1,12608.0,3
19000,3,1,12608.0,3
20000,3,1,12704.0,3
21000,3,1,12736.0,3
22000,3,1,12608.0,3
23000,3,1,12736.0,3
24000,3,1,12608.0,3
25000,3,1,12736.0,3
30000,3,1,12608.0,3
35000,3,1,12704.0,3
40000,3,1,12672.0,3
45000,3,1,12688.0,3
50000,3,1,12704.0,3
60000,3,1,12608.0,3
70000,3,1,12608.0,3
80000,3,1,12608.0,3
90000,3,1,12736.0,3
100000,3,1,12672.0,3
200000,3,1,12608.0,3
300000,3,1,12608.0,3
400000,3,1,12736.0,3
500000,3,1,12832.0,3
600000,3,1,13072.0,3
700000,3,1,12608.0,3
800000,3,1,12720.0,3
900000,3,1,12608.0,3
1000000,3,1,12704.0,3
