Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,1,5,9504.0,3
11000,1,5,9584.0,3
12000,1,5,9504.0,3
13000,1,5,9648.0,3
14000,1,5,9504.0,3
15000,1,5,9504.0,3
16000,1,5,9632.0,3
17000,1,5,9504.0,3
18000,1,5,9504.0,3
19000,1,5,9504.0,3
20000,1,5,9504.0,3
21000,1,5,9504.0,3
22000,1,5,9584.0,3
23000,1,5,9600.0,3
24000,1,5,9872.0,3
25000,1,5,9504.0,3
30000,1,5,9504.0,3
35000,1,5,9584.0,3
40000,1,5,9504.0,3
45000,1,5,9648.0,3
50000,1,5,9504.0,3
60000,1,5,9504.0,3
70000,1,5,9616.0,3
80000,1,5,9760.0,3
90000,1,5,9776.0,3
100000,1,5,9776.0,3
200000,1,5,9680.0,3
300000,1,5,9600.0,3
400000,1,5,9536.0,3
500000,1,5,9504.0,3
600000,1,5,9504.0,3
700000,1,5,9504.0,3
800000,1,5,9616.0,3
900000,1,5,9504.0,3
1000000,1,5,9504.0,3
