N,Time (s),Memory (KB),Passes
10,0.0,4196.0,1.0
20,0.0,4168.0,1.0
30,0.0,4164.0,1.0
40,0.0,4196.0,1.0
50,0.0,4172.0,1.0
60,0.0,4168.0,1.0
70,0.0,4224.0,1.0
80,0.0,4216.0,1.0
90,0.0,4168.0,1.0
100,0.0,4168.0,1.0
200,0.0,5220.0,1.0
300,0.0,6216.0,1.0
400,0.0,7240.0,1.0
500,0.0,7296.0,1.0
600,0.0,8264.0,1.0
700,0.0,9316.0,1.0
800,0.0,9304.0,1.0
900,0.0,9276.0,1.0
1000,0.0,11364.0,1.0
1250,0.01,5192.0,2.0
1500,0.01,6216.0,2.0
1750,0.01,6216.0,2.0
2000,0.02,6228.0,2.0
2250,0.02,7260.0,2.0
2500,0.02,7268.0,2.0
3000,0.03,8264.0,2.0
3500,0.03,8264.0,2.0
4000,0.04,9288.0,2.0
4500,0.04,10360.0,2.0
5000,0.05,10312.0,2.0
6000,0.06,12364.0,2.0
7000,0.07,12320.0,2.0
8000,0.08,14408.0,2.0
9000,0.09,16476.0,2.0
10000,0.1,17504.0,2.0
