N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4160.0,1.0,1.0
20,0.0,4152.0,1.0,1.0
30,0.0002,4184.0,1.62,30.0
40,0.0004,3136.0,1.82,40.0
50,0.0006,3160.0,1.91,50.0
60,0.0009,3148.0,1.97,60.0
70,0.0012,4160.0,1.96,70.0
80,0.0016,4164.0,1.99,80.0
90,0.0021,4144.0,2.0,90.0
100,0.0025,3128.0,1.99,100.0
200,0.0104,4152.0,2.02,200.0
300,0.026699999999999998,3120.0,2.34,300.0
400,0.054900000000000004,4144.0,2.7,400.0
500,0.0868,3160.0,2.78,500.0
600,0.1303,5180.0,2.92,600.0
700,0.1776,4132.0,2.97,700.0
800,0.2377,5172.0,2.99,800.0
900,0.3015,4216.0,2.99,900.0
1000,0.3738,5168.0,2.99,1000.0
1200,0.5482,4164.0,3.0,1200.0
1400,0.7490000000000001,5204.0,3.0,1400.0
1600,0.9528,5232.0,3.0,1600.0
1800,1.2194,5188.0,3.0,1800.0
2000,1.5463,5212.0,3.01,2000.0
2500,2.4526,6180.0,3.06,2500.0
3000,3.6575,7268.0,3.14,3000.0
3500,5.2155,6212.0,3.33,3500.0
4000,6.8611,8228.0,3.47,4000.0
4500,8.902999999999999,8300.0,3.56,4500.0
5000,11.800799999999999,9336.0,3.8,5000.0
6000,17.5774,11336.0,3.84,6000.0
7000,23.7777,12324.0,3.89,7000.0
