N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2e-05,5192.0,1.0,1.0
20,8.999999999999999e-05,5156.0,1.0,1.0
30,0.00039,3124.0,1.599,30.0
40,0.00047999999999999996,3136.0,1.827,40.0
50,0.00115,4152.0,1.922,50.0
60,0.00166,4132.0,1.973,60.0
70,0.00222,4136.0,1.984,70.0
80,0.0028599999999999997,4144.0,1.997,80.0
90,0.00352,3132.0,2.0,90.0
100,0.00442,3196.0,1.998,100.0
200,0.01804,4136.0,2.025,200.0
300,0.02946,4164.0,2.31,300.0
400,0.09369,3188.0,2.643,400.0
500,0.14973,4160.0,2.824,500.0
600,0.22265000000000001,4132.0,2.908,600.0
700,0.31033,4164.0,2.969,700.0
800,0.27253,5176.0,2.979,800.0
900,0.43313999999999997,5172.0,2.984,900.0
1000,0.6439400000000001,4148.0,2.998,1000.0
1200,0.92052,4128.0,2.999,1200.0
1400,1.10604,4132.0,3.0,1400.0
1600,1.15677,5156.0,3.0,1600.0
1800,1.8401500000000002,5156.0,3.0,1800.0
2000,2.48711,5228.0,3.003,2000.0
2500,3.68482,6260.0,3.038,2500.0
