N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3181.324,1.0,0.0
20,0.0,3181.108,1.0,0.0
30,0.0,3181.732,1.0,0.0
40,0.0,3181.056,1.992,36.36
50,0.0,3182.404,2.0,45.397
60,0.0,3182.452,2.0,54.188
70,0.0,3182.82,2.0,62.989
80,0.0,3180.464,2.0,71.888
90,0.0,3183.376,2.0,81.012
100,0.0,3181.568,2.0,89.793
200,0.0,3180.088,2.0,179.717
300,0.0,3182.06,2.0,270.505
400,0.0,3181.284,2.0,361.203
500,0.0,3182.144,2.0,452.174
600,0.0,3182.12,2.0,543.327
700,0.0004300000000000002,3181.78,2.0,634.775
800,0.0,3184.084,2.0,727.068
900,0.0004300000000000002,3184.04,2.0,818.138
1000,0.0009900000000000006,4190.632,2.0,909.707
1200,0.001170000000000001,4203.324,2.0,1093.518
1400,0.006179999999999913,4207.916,2.0,1277.707
1600,0.009749999999999837,4205.984,2.0,1462.466
1800,0.010009999999999832,4206.392,2.0,1647.201
2000,0.009999999999999832,4205.364,2.0,1831.867
2500,0.013269999999999789,5228.86,2.0,2295.13
3000,0.019969999999999665,5230.076,2.0,2758.193
3500,0.020939999999999688,6249.348,2.0,3222.408
4000,0.029230000000000297,6253.116,2.0,3687.385
4500,0.03027000000000036,6254.164,2.0,4152.121
5000,0.0376799999999996,7278.064,2.0,4618.665
6000,0.046569999999999424,8296.34,2.0,5550.334
7000,0.05514999999999987,8303.524,2.0,6484.224
8000,0.06476000000000057,9327.028,2.0,7417.718
9000,0.07517999999999893,10343.148,2.0,8353.278
10000,0.08464000000000017,11367.18,2.0,9287.578
