K,Average User Time (s),Average Memory (KB),Passes
1,36.31,110984.8,4
2,30.772,112792.0,4
3,34.212,112826.4,5
4,31.458,112810.4,5
5,33.782,112831.2,4
6,33.098,112857.6,4
7,35.362,112767.2,4
8,33.666,112530.4,5
9,31.036,112543.2,5
10,34.344,112488.0,5
